TIMESTAMP,AGENTNAME,ORDERBOOK,INSTRUMENT_NAME,COUNTRY,SECTOR_LONGNAME,SUBSECTOR_LONGNAME,INDUSTRY_LONGNAME,HOLDING_RATIO,HOLDING,OB_HOLDING,INVESTS,LASTFIXEDPRICE,ESG,E,S,G,ESG_RATIO,E_RATIO,S_RATIO,G_RATIO
2019-04-05 07:50:00.844,Pauline-03,FR0010313833,ARKEMA,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,DIVERSIFIED CHEMICALS,0.652741,1532,1000,100,10,62.78,61.33,61,66,40.97907998,40.03260553,39.817201,43.080906
2019-04-05 07:58:41.538,Pauline-03,FR0000120321,L'OREAL,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,COSMETICS,0.026109,1532,40,4,10,69.61,70.67,69.5,68.67,1.81744749,1.84512303,1.8145755,1.79290503
2019-04-05 12:40:33.224,Adele-00,FR0000121709,S.E.B.,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,HOUSEHOLD EQUIPMENT,1.000000,1507,1507,137,11,61.61,59,62.83,63,61.61,59,62.83,63
2019-04-05 12:33:54.510,Adele-00,FR0012435121,ELIS,FR,CONSUMER DISCRETIONARY,CONSUMER SERVICES,CONSUMER RENTAL & LEASE SERVICES,0.000000,1507,0,0,7,57.5,59,49.17,64.33,0,0,0,0
2019-04-05 07:45:14.176,Nicolas-00,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.000000,1254,0,0,8,62.39,67.33,62.5,57.33,0,0,0,0
2019-04-05 08:54:32.436,Nicolas-00,FR0000120644,DANONE,FR,CONSUMER STAPLES,FOOD,FOOD,1.000000,1254,1254,114,11,65.11,66,61.67,67.67,65.11,66,61.67,67.67
2019-04-05 08:46:38.302,Nicolas-00,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,0.000000,1254,0,0,16,65.17,64.33,64.83,66.33,0,0,0,0
2019-04-05 07:37:51.344,Beatrice-01,FR0011981968,WORLDLINE,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,1.000000,1209,1209,93,13,65.28,71,61.83,63,65.28,71,61.83,63
2019-04-05 07:35:51.964,Beatrice-01,FR0000121964,KLEPIERRE,FR,FINANCIAL SERVICES,REAL ESTATE INVESTMENT TRUSTS,RETAIL REIT,0.000000,1209,0,0,14,61.94,63.33,59.17,63.33,0,0,0,0
2019-04-05 07:31:12.974,Nicolas-03,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,1.000000,1156,1156,68,17,65.17,64.33,64.83,66.33,65.17,64.33,64.83,66.33
2019-04-05 07:25:04.558,Nicolas-03,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,0.000000,1156,0,0,14,62.39,67.33,62.5,57.33,0,0,0,0
2019-04-05 09:01:07.704,Pauline-02,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.000000,1120,0,0,9,58.56,55,54.33,66.33,0,0,0,0
2019-04-05 09:09:40.472,Pauline-02,FR0010313833,ARKEMA,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,DIVERSIFIED CHEMICALS,1.000000,1120,1120,112,10,62.78,61.33,61,66,62.78,61.33,61,66
2019-04-05 07:24:53.686,Pauline-04,FR0010307819,LEGRAND,FR,PRODUCER DURABLES,SCIENTIFIC INSTRUMENTS & SERVICES,SCIENCTIFIC INSTRUMENTS ELECTRICAL,1.000000,1024,1024,64,16,65.17,64.33,64.83,66.33,65.17,64.33,64.83,66.33
2019-04-05 07:19:51.884,Pauline-04,FR0012757854,SPIE,FR,PRODUCER DURABLES,COMMERCIAL SERVICES,ENGINEERING & CONTRACTING,0.000000,1024,0,0,9,58.56,55,54.33,66.33,0,0,0,0
2019-04-05 07:06:25.274,Franck-03,FR0000071946,ALTEN,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.000000,1001,0,0,13,61.11,64.33,63,56,0,0,0,0
2019-04-05 07:11:17.456,Franck-03,FR0000125338,CAPGEMINI,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,1.000000,1001,1001,77,13,60.83,58.33,61.83,62.33,60.83,58.33,61.83,62.33
2019-04-05 07:06:03.058,Denise-00,FR0010220475,ALSTOM,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,POWER TRANSMISSION EQUIPMENT,1.000000,994,994,71,14,62.39,67.33,62.5,57.33,62.39,67.33,62.5,57.33
